c,n,repeticion,orden_efectivo
10,5000,19,9
10,10000,0,10
10,10000,1,10
10,10000,2,10
10,10000,3,10
10,10000,4,10
10,10000,5,10
10,10000,6,11
10,10000,7,10
10,10000,8,10
10,10000,9,11
10,10000,10,10
10,10000,11,10
10,10000,12,10
10,10000,13,10
10,10000,14,11
10,10000,15,11
10,10000,16,10
10,10000,17,10
10,10000,18,11
10,10000,19,11
25,100,0,2
25,100,1,2
25,100,2,2
25,100,3,2
25,100,4,2
25,100,5,2
25,100,6,2
25,100,7,2
25,100,8,2
25,100,9,2
25,100,10,2
25,100,11,2
25,100,12,2
25,100,13,2
25,100,14,2
25,100,15,2
25,100,16,2
25,100,17,2
25,100,18,2
25,100,19,2
25,250,0,3
25,250,1,2
25,250,2,3
25,250,3,2
25,250,4,3
25,250,5,2
25,250,6,3
25,250,7,3
25,250,8,3
25,250,9,3
25,250,10,3
25,250,11,3
25,250,12,3
25,250,13,3
25,250,14,2
25,250,15,3
25,250,16,3
25,250,17,3
25,250,18,3
25,250,19,3
25,500,0,3
25,500,1,3
25,500,2,3
25,500,3,3
25,500,4,3
25,500,5,3
25,500,6,3
25,500,7,3
25,500,8,3
25,500,9,3
25,500,10,3
25,500,11,3
25,500,12,3
25,500,13,3
25,500,14,3
25,500,15,3
25,500,16,3
25,500,17,3
25,500,18,3
25,500,19,3
25,1000,0,3
25,1000,1,3
25,1000,2,4
25,1000,3,4
25,1000,4,4
25,1000,5,4
25,1000,6,3
25,1000,7,3
25,1000,8,4
25,1000,9,4
25,1000,10,3
25,1000,11,3
25,1000,12,3
25,1000,13,4
25,1000,14,4
25,1000,15,3
25,1000,16,3
25,1000,17,3
25,1000,18,3
25,1000,19,3
25,2500,0,4
25,2500,1,5
25,2500,2,4
25,2500,3,4
25,2500,4,4
25,2500,5,4
25,2500,6,4
25,2500,7,4
25,2500,8,4
25,2500,9,4
25,2500,10,4
25,2500,11,4
25,2500,12,4
25,2500,13,4
25,2500,14,4
25,2500,15,4
25,2500,16,4
25,2500,17,4
25,2500,18,4
25,2500,19,4
25,5000,0,5
25,5000,1,4
25,5000,2,4
25,5000,3,4
25,5000,4,5
25,5000,5,4
25,5000,6,4
25,5000,7,5
25,5000,8,4
25,5000,9,5
25,5000,10,5
25,5000,11,4
25,5000,12,4
25,5000,13,4
25,5000,14,4
25,5000,15,4
25,5000,16,4
25,5000,17,4
25,5000,18,4
25,5000,19,4
25,10000,0,5
25,10000,1,5
25,10000,2,5
25,10000,3,5
25,10000,4,5
25,10000,5,5
25,10000,6,5
25,10000,7,5
25,10000,8,5
25,10000,9,5
25,10000,10,5
25,10000,11,5
25,10000,12,5
25,10000,13,5
25,10000,14,5
25,10000,15,5
25,10000,16,5
25,10000,17,5
25,10000,18,5
25,10000,19,5
50,250,0,2
50,250,1,2
50,250,2,2
50,250,3,2
50,250,4,2
50,250,5,2
50,250,6,2
50,250,7,2
50,250,8,2
50,250,9,2
50,250,10,2
50,250,11,2
50,250,12,2
50,250,13,2
50,250,14,2
50,250,15,2
50,250,16,2
50,250,17,2
50,250,18,2
50,250,19,2
50,500,0,2
50,500,1,2
50,500,2,2
50,500,3,2
50,500,4,2
50,500,5,2
